lambda,tvd,jsd,l2_squared,ess_alpha,ess_pi,max_pi,top3_pi_mass,top5_pi_mass,tvd_reduction_percent,jsd_reduction_percent
0.0,0.11234579820885765,0.01519011640225078,0.0007397240922663668,23.28851150592472,22.139844807643108,0.09840378388133858,0.21973104156912018,0.3271601392778359,8.07980077067896,18.952400409346733
0.0001,0.11233544108645101,0.015191767287680414,0.0007397304300318931,23.356084440882455,22.211104080526532,0.09807140125895092,0.21894845086240666,0.3261361609128676,8.088274863793606,18.943592030416127
0.001,0.1123049090953442,0.015213781793131213,0.0007402658913163178,23.906764644583358,22.8038043040434,0.09523920757210302,0.21240403175470537,0.3175897206406291,8.113255831040712,18.82613257350912
0.01,0.1134318892750978,0.015603629625381385,0.0007589967064628182,26.501860018228868,25.959209446514585,0.07778487254462164,0.1788570896097456,0.2733712768259693,7.191172012134885,16.74608063889627
0.1,0.11768790267787022,0.01731741477037409,0.0008558896548356518,28.59473801028928,29.523421843151088,0.04698326699223053,0.12649947706099965,0.2011678426615798,3.7089447624943492,7.602097239585559
1.0,0.12149556352846182,0.018517945319085558,0.000927437985970143,28.648321122043388,29.990714417463106,0.03516428906621543,0.10373451280075682,0.1714365870461009,0.5935550499801966,1.1966085236533448
10.0,0.1221455967955452,0.018718404120111026,0.0009395324966865132,28.618627600177827,29.999898938371814,0.03352345548875956,0.10039060170076017,0.16716382816230857,0.061704385615255826,0.1270509106828947
